1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Second Battle of Passchendaele;Louis Ruquoy;Friedrich Sixt von Armin
Second Battle of Petrozsény;Ioan Culcer;Erich von Falkenhayn
Second Battle of Petrozsény;Ioan Culcer;Ludwig Berger (colonel)
Second Battle of the Aisne;Robert Nivelle;Erich Ludendorff
Second Battle of the Aisne;Robert Nivelle;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Robert Nivelle;Max von Boehn
Second Battle of the Aisne;Robert Nivelle;Fritz von Below
Second Battle of the Aisne;Robert Nivelle;Karl von Einem
Second Battle of the Aisne;Franchet d'Espèrey;Erich Ludendorff
Second Battle of the Aisne;Franchet d'Espèrey;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Franchet d'Espèrey;Max von Boehn
Second Battle of the Aisne;Franchet d'Espèrey;Fritz von Below
Second Battle of the Aisne;Franchet d'Espèrey;Karl von Einem
Second Battle of the Aisne;Joseph Alfred Micheler;Erich Ludendorff
Second Battle of the Aisne;Joseph Alfred Micheler;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Joseph Alfred Micheler;Max von Boehn
Second Battle of the Aisne;Joseph Alfred Micheler;Fritz von Below
Second Battle of the Aisne;Joseph Alfred Micheler;Karl von Einem
Second Battle of the Aisne;Philippe Pétain;Erich Ludendorff
Second Battle of the Aisne;Philippe Pétain;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Philippe Pétain;Max von Boehn
Second Battle of the Aisne;Philippe Pétain;Fritz von Below
Second Battle of the Aisne;Philippe Pétain;Karl von Einem
Second Battle of the Aisne;Charles Mangin;Erich Ludendorff
Second Battle of the Aisne;Charles Mangin;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Charles Mangin;Max von Boehn
Second Battle of the Aisne;Charles Mangin;Fritz von Below
Second Battle of the Aisne;Charles Mangin;Karl von Einem
Second Battle of the Aisne;François Anthoine;Erich Ludendorff
Second Battle of the Aisne;François Anthoine;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;François Anthoine;Max von Boehn
Second Battle of the Aisne;François Anthoine;Fritz von Below
Second Battle of the Aisne;François Anthoine;Karl von Einem
Second Battle of the Aisne;Olivier Mazel;Erich Ludendorff
Second Battle of the Aisne;Olivier Mazel;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Olivier Mazel;Max von Boehn
Second Battle of the Aisne;Olivier Mazel;Fritz von Below
Second Battle of the Aisne;Olivier Mazel;Karl von Einem
Second Battle of the Aisne;Denis Auguste Duchêne;Erich Ludendorff
Second Battle of the Aisne;Denis Auguste Duchêne;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Denis Auguste Duchêne;Max von Boehn
Second Battle of the Aisne;Denis Auguste Duchêne;Fritz von Below
Second Battle of the Aisne;Denis Auguste Duchêne;Karl von Einem
Second Battle of the Aisne;Georges Louis Humbert;Erich Ludendorff
Second Battle of the Aisne;Georges Louis Humbert;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Georges Louis Humbert;Max von Boehn
Second Battle of the Aisne;Georges Louis Humbert;Fritz von Below
Second Battle of the Aisne;Georges Louis Humbert;Karl von Einem
Second Battle of the Aisne;Nikolai Lokhvitsky;Erich Ludendorff
Second Battle of the Aisne;Nikolai Lokhvitsky;Crown Prince Wilhelm of Germany
Second Battle of the Aisne;Nikolai Lokhvitsky;Max von Boehn
Second Battle of the Aisne;Nikolai Lokhvitsky;Fritz von Below
Second Battle of the Aisne;Nikolai Lokhvitsky;Karl von Einem
Second Battle of the Isonzo;Luigi Cadorna;Conrad von Hötzendorf
Second Battle of the Isonzo;Luigi Cadorna;Archduke Eugen of Austria
Second Battle of the Isonzo;Luigi Cadorna;Svetozar Boroević
Second Battle of the Isonzo;Pietro Frugoni;Conrad von Hötzendorf
Second Battle of the Isonzo;Pietro Frugoni;Archduke Eugen of Austria
Second Battle of the Isonzo;Pietro Frugoni;Svetozar Boroević
Second Battle of the Isonzo;Emanuele Filiberto, 2nd Duke of Aosta;Conrad von Hötzendorf
Second Battle of the Isonzo;Emanuele Filiberto, 2nd Duke of Aosta;Archduke Eugen of Austria
Second Battle of the Isonzo;Emanuele Filiberto, 2nd Duke of Aosta;Svetozar Boroević
Second Battle of the Jiu Valley;Paraschiv Vasilescu;Viktor Kühne
Second Battle of the Jordan;Edmund Allenby;İsmail Enver Pasha
Second Battle of the Jordan;Edmund Allenby;Liman von Sanders
Second Battle of the Jordan;Edmund Allenby;Cemal Mersinli
Second Battle of the Jordan;Harry Chauvel;İsmail Enver Pasha
Second Battle of the Jordan;Harry Chauvel;Liman von Sanders
Second Battle of the Jordan;Harry Chauvel;Cemal Mersinli
Second Battle of the Jordan;John Shea;İsmail Enver Pasha
Second Battle of the Jordan;John Shea;Liman von Sanders
Second Battle of the Jordan;John Shea;Cemal Mersinli
Second Battle of the Jordan;Edward Chaytor;İsmail Enver Pasha
Second Battle of the Jordan;Edward Chaytor;Liman von Sanders
Second Battle of the Jordan;Edward Chaytor;Cemal Mersinli
Second Battle of the Jordan;Henry Hodgson;İsmail Enver Pasha
Second Battle of the Jordan;Henry Hodgson;Liman von Sanders
Second Battle of the Jordan;Henry Hodgson;Cemal Mersinli
Second Battle of the Marne;Ferdinand Foch;Erich Ludendorff
Second Battle of the Marne;Ferdinand Foch;Karl von Einem
Second Battle of the Marne;Ferdinand Foch;Bruno von Mudra
Second Battle of the Marne;Ferdinand Foch;Max von Boehn
Second Battle of the Marne;Ferdinand Foch;Johannes von Eben
Second Battle of the Marne;Paul Maistre;Erich Ludendorff
Second Battle of the Marne;Paul Maistre;Karl von Einem
Second Battle of the Marne;Paul Maistre;Bruno von Mudra
Second Battle of the Marne;Paul Maistre;Max von Boehn
Second Battle of the Marne;Paul Maistre;Johannes von Eben
Second Battle of the Marne;Émile Fayolle;Erich Ludendorff
Second Battle of the Marne;Émile Fayolle;Karl von Einem
Second Battle of the Marne;Émile Fayolle;Bruno von Mudra
Second Battle of the Marne;Émile Fayolle;Max von Boehn
Second Battle of the Marne;Émile Fayolle;Johannes von Eben
Second Battle of the Marne;Henri Gouraud;Erich Ludendorff
Second Battle of the Marne;Henri Gouraud;Karl von Einem
Second Battle of the Marne;Henri Gouraud;Bruno von Mudra
Second Battle of the Marne;Henri Gouraud;Max von Boehn
Second Battle of the Marne;Henri Gouraud;Johannes von Eben
Second Battle of the Marne;Charles Mangin;Erich Ludendorff
Second Battle of the Marne;Charles Mangin;Karl von Einem
Second Battle of the Marne;Charles Mangin;Bruno von Mudra
Second Battle of the Marne;Charles Mangin;Max von Boehn
Second Battle of the Marne;Charles Mangin;Johannes von Eben
Second Battle of the Marne;Antoine de Mitry;Erich Ludendorff
Second Battle of the Marne;Antoine de Mitry;Karl von Einem
Second Battle of the Marne;Antoine de Mitry;Bruno von Mudra
Second Battle of the Marne;Antoine de Mitry;Max von Boehn
Second Battle of the Marne;Antoine de Mitry;Johannes von Eben
Second Battle of the Marne;Henri Berthelot;Erich Ludendorff
Second Battle of the Marne;Henri Berthelot;Karl von Einem
Second Battle of the Marne;Henri Berthelot;Bruno von Mudra
Second Battle of the Marne;Henri Berthelot;Max von Boehn
Second Battle of the Marne;Henri Berthelot;Johannes von Eben
Second Battle of the Marne;Jean Degoutte;Erich Ludendorff
Second Battle of the Marne;Jean Degoutte;Karl von Einem
Second Battle of the Marne;Jean Degoutte;Bruno von Mudra
Second Battle of the Marne;Jean Degoutte;Max von Boehn
Second Battle of the Marne;Jean Degoutte;Johannes von Eben
Second Battle of the Marne;John J. Pershing;Erich Ludendorff
Second Battle of the Marne;John J. Pershing;Karl von Einem
Second Battle of the Marne;John J. Pershing;Bruno von Mudra
Second Battle of the Marne;John J. Pershing;Max von Boehn
Second Battle of the Marne;John J. Pershing;Johannes von Eben
Second Battle of the Marne;Alexander Godley;Erich Ludendorff
Second Battle of the Marne;Alexander Godley;Karl von Einem
Second Battle of the Marne;Alexander Godley;Bruno von Mudra
Second Battle of the Marne;Alexander Godley;Max von Boehn
Second Battle of the Marne;Alexander Godley;Johannes von Eben
Second Battle of the Marne;Alberico Albricci;Erich Ludendorff
Second Battle of the Marne;Alberico Albricci;Karl von Einem
Second Battle of the Marne;Alberico Albricci;Bruno von Mudra
Second Battle of the Marne;Alberico Albricci;Max von Boehn
Second Battle of the Marne;Alberico Albricci;Johannes von Eben
Second Battle of the Marne;Nikolai Lokhvitsky;Erich Ludendorff
Second Battle of the Marne;Nikolai Lokhvitsky;Karl von Einem
Second Battle of the Marne;Nikolai Lokhvitsky;Bruno von Mudra
Second Battle of the Marne;Nikolai Lokhvitsky;Max von Boehn
Second Battle of the Marne;Nikolai Lokhvitsky;Johannes von Eben
Second Battle of the Masurian Lakes;Paul von Hindenburg;Nikolai Ruzsky
Second Battle of the Masurian Lakes;Paul von Hindenburg;Thadeus von Sievers
Second Battle of the Masurian Lakes;Paul von Hindenburg;Pavel Plehve
Second Battle of the Masurian Lakes;Erich Ludendorff;Nikolai Ruzsky
Second Battle of the Masurian Lakes;Erich Ludendorff;Thadeus von Sievers
Second Battle of the Masurian Lakes;Erich Ludendorff;Pavel Plehve
Second Battle of the Masurian Lakes;Max Hoffmann;Nikolai Ruzsky
Second Battle of the Masurian Lakes;Max Hoffmann;Thadeus von Sievers
Second Battle of the Masurian Lakes;Max Hoffmann;Pavel Plehve
Second Battle of the Masurian Lakes;Otto von Below;Nikolai Ruzsky
Second Battle of the Masurian Lakes;Otto von Below;Thadeus von Sievers
Second Battle of the Masurian Lakes;Otto von Below;Pavel Plehve
Second Battle of the Masurian Lakes;Hermann von Eichhorn;Nikolai Ruzsky
Second Battle of the Masurian Lakes;Hermann von Eichhorn;Thadeus von Sievers
Second Battle of the Masurian Lakes;Hermann von Eichhorn;Pavel Plehve
Second Battle of the Masurian Lakes;Georg von der Marwitz;Nikolai Ruzsky
Second Battle of the Masurian Lakes;Georg von der Marwitz;Thadeus von Sievers
Second Battle of the Masurian Lakes;Georg von der Marwitz;Pavel Plehve
Second Battle of the Piave River;Armando Diaz;Arthur Arz von Straussenburg
Second Battle of the Piave River;Armando Diaz;Svetozar Boroević
Second Battle of the Piave River;Armando Diaz;Conrad von Hötzendorf
Second Battle of the Somme;Douglas Haig;Erich Ludendorff
Second Battle of the Somme;Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Second Battle of the Somme;Arthur Currie;Erich Ludendorff
Second Battle of the Somme;John Monash;Erich Ludendorff
Second Battle of Villers-Bretonneux;Ferdinand Foch;Erich Ludendorff
Second Battle of Villers-Bretonneux;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Second Battle of Villers-Bretonneux;Ferdinand Foch;Georg von der Marwitz
Second Battle of Villers-Bretonneux;Douglas Haig;Erich Ludendorff
Second Battle of Villers-Bretonneux;Douglas Haig;Crown Prince Rupprecht of Bavaria
Second Battle of Villers-Bretonneux;Douglas Haig;Georg von der Marwitz
Second Battle of Villers-Bretonneux;Henry Rawlinson, 1st Baron Rawlinson;Erich Ludendorff
Second Battle of Villers-Bretonneux;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Second Battle of Villers-Bretonneux;Henry Rawlinson, 1st Baron Rawlinson;Georg von der Marwitz
Second Battle of Villers-Bretonneux;Harold Elliott (Australian Army officer);Erich Ludendorff
Second Battle of Villers-Bretonneux;Harold Elliott (Australian Army officer);Crown Prince Rupprecht of Bavaria
Second Battle of Villers-Bretonneux;Harold Elliott (Australian Army officer);Georg von der Marwitz
Second Battle of Villers-Bretonneux;Thomas William Glasgow;Erich Ludendorff
Second Battle of Villers-Bretonneux;Thomas William Glasgow;Crown Prince Rupprecht of Bavaria
Second Battle of Villers-Bretonneux;Thomas William Glasgow;Georg von der Marwitz
Second Battle of Villers-Bretonneux;Talbot Hobbs;Erich Ludendorff
Second Battle of Villers-Bretonneux;Talbot Hobbs;Crown Prince Rupprecht of Bavaria
Second Battle of Villers-Bretonneux;Talbot Hobbs;Georg von der Marwitz
Second Battle of Ypres;Horace Smith-Dorrien;Albrecht of Württemberg
Second Battle of Ypres;Herbert Plumer;Albrecht of Württemberg
Second Battle of Ypres;Arthur Currie;Albrecht of Württemberg
Second Battle of Ypres;Henri Gabriel Putz;Albrecht of Württemberg
Second Battle of Ypres;Armand De Ceuninck;Albrecht of Württemberg
Second Battle of Ķekava;Radko Dimitriev;Oskar von Hutier
Second Brusilov offensive;Mikhail Alekseyev;Paul von Hindenburg
Second Brusilov offensive;Mikhail Alekseyev;Erich Ludendorff
Second Brusilov offensive;Mikhail Alekseyev;Conrad von Hötzendorf
Second Brusilov offensive;Mikhail Alekseyev;Archduke Joseph Ferdinand
Second Brusilov offensive;Mikhail Alekseyev;Eduard von Böhm-Ermolli
Second Brusilov offensive;Mikhail Alekseyev;Alexander von Linsingen
Second Brusilov offensive;Mikhail Alekseyev;Felix Graf von Bothmer
Second Brusilov offensive;Mikhail Alekseyev;Cevat Pasha
Second Brusilov offensive;Aleksei Brusilov;Paul von Hindenburg
Second Brusilov offensive;Aleksei Brusilov;Erich Ludendorff
Second Brusilov offensive;Aleksei Brusilov;Conrad von Hötzendorf
Second Brusilov offensive;Aleksei Brusilov;Archduke Joseph Ferdinand
Second Brusilov offensive;Aleksei Brusilov;Eduard von Böhm-Ermolli
Second Brusilov offensive;Aleksei Brusilov;Alexander von Linsingen
Second Brusilov offensive;Aleksei Brusilov;Felix Graf von Bothmer
Second Brusilov offensive;Aleksei Brusilov;Cevat Pasha
Second Brusilov offensive;Aleksei Kaledin;Paul von Hindenburg
Second Brusilov offensive;Aleksei Kaledin;Erich Ludendorff
Second Brusilov offensive;Aleksei Kaledin;Conrad von Hötzendorf
Second Brusilov offensive;Aleksei Kaledin;Archduke Joseph Ferdinand
Second Brusilov offensive;Aleksei Kaledin;Eduard von Böhm-Ermolli
Second Brusilov offensive;Aleksei Kaledin;Alexander von Linsingen
Second Brusilov offensive;Aleksei Kaledin;Felix Graf von Bothmer
Second Brusilov offensive;Aleksei Kaledin;Cevat Pasha
Second Brusilov offensive;Vladimir Sakharov;Paul von Hindenburg
Second Brusilov offensive;Vladimir Sakharov;Erich Ludendorff
Second Brusilov offensive;Vladimir Sakharov;Conrad von Hötzendorf
Second Brusilov offensive;Vladimir Sakharov;Archduke Joseph Ferdinand
Second Brusilov offensive;Vladimir Sakharov;Eduard von Böhm-Ermolli
Second Brusilov offensive;Vladimir Sakharov;Alexander von Linsingen
Second Brusilov offensive;Vladimir Sakharov;Felix Graf von Bothmer
Second Brusilov offensive;Vladimir Sakharov;Cevat Pasha
Second Brusilov offensive;Dmitry Shcherbachev;Paul von Hindenburg
Second Brusilov offensive;Dmitry Shcherbachev;Erich Ludendorff
Second Brusilov offensive;Dmitry Shcherbachev;Conrad von Hötzendorf
Second Brusilov offensive;Dmitry Shcherbachev;Archduke Joseph Ferdinand
Second Brusilov offensive;Dmitry Shcherbachev;Eduard von Böhm-Ermolli
Second Brusilov offensive;Dmitry Shcherbachev;Alexander von Linsingen
Second Brusilov offensive;Dmitry Shcherbachev;Felix Graf von Bothmer
Second Brusilov offensive;Dmitry Shcherbachev;Cevat Pasha
Second Brusilov offensive;Mikhail Diterikhs;Paul von Hindenburg
Second Brusilov offensive;Mikhail Diterikhs;Erich Ludendorff
Second Brusilov offensive;Mikhail Diterikhs;Conrad von Hötzendorf
Second Brusilov offensive;Mikhail Diterikhs;Archduke Joseph Ferdinand
Second Brusilov offensive;Mikhail Diterikhs;Eduard von Böhm-Ermolli
Second Brusilov offensive;Mikhail Diterikhs;Alexander von Linsingen
Second Brusilov offensive;Mikhail Diterikhs;Felix Graf von Bothmer
Second Brusilov offensive;Mikhail Diterikhs;Cevat Pasha
Second Raid on the Suez Canal;Ahmed Djemal;John Maxwell
Second Raid on the Suez Canal;Ahmed Djemal;Archibald Murray
Second Raid on the Suez Canal;Ahmed Djemal;Edgar Askin Wiggin
Second Raid on the Suez Canal;Ahmed Djemal;Harry Chauvel
Second Raid on the Suez Canal;Ahmed Djemal;Herbert Lawrence
Second Raid on the Suez Canal;Friedrich Kress von Kressenstein;John Maxwell
Second Raid on the Suez Canal;Friedrich Kress von Kressenstein;Archibald Murray
Second Raid on the Suez Canal;Friedrich Kress von Kressenstein;Edgar Askin Wiggin
Second Raid on the Suez Canal;Friedrich Kress von Kressenstein;Harry Chauvel
Second Raid on the Suez Canal;Friedrich Kress von Kressenstein;Herbert Lawrence
Second Raid on the Suez Canal;Cemal Mersinli;John Maxwell
Second Raid on the Suez Canal;Cemal Mersinli;Archibald Murray
Second Raid on the Suez Canal;Cemal Mersinli;Edgar Askin Wiggin
Second Raid on the Suez Canal;Cemal Mersinli;Harry Chauvel
Second Raid on the Suez Canal;Cemal Mersinli;Herbert Lawrence
Second Raid on the Suez Canal;Werner von Frankenberg und Proschlitz;John Maxwell
Second Raid on the Suez Canal;Werner von Frankenberg und Proschlitz;Archibald Murray
Second Raid on the Suez Canal;Werner von Frankenberg und Proschlitz;Edgar Askin Wiggin
Second Raid on the Suez Canal;Werner von Frankenberg und Proschlitz;Harry Chauvel
Second Raid on the Suez Canal;Werner von Frankenberg und Proschlitz;Herbert Lawrence
Second Russian invasion of East Prussia (1914);Hermann von François;Nikolai Ruzsky
Seventh Battle of the Isonzo;Luigi Cadorna;Conrad von Hötzendorf
Seventh Battle of the Isonzo;Luigi Cadorna;Svetozar Boroević
Seventh Battle of the Isonzo;Emanuele Filiberto, 2nd Duke of Aosta;Conrad von Hötzendorf
Seventh Battle of the Isonzo;Emanuele Filiberto, 2nd Duke of Aosta;Svetozar Boroević
Siege of Antwerp (1914);Hans Hartwig von Beseler;King Albert I
Siege of Antwerp (1914);Hans Hartwig von Beseler;Victor Deguise
Siege of Antwerp (1914);Hans Hartwig von Beseler;Henry Rawlinson, 1st Baron Rawlinson
Siege of Antwerp (1914);Hans Hartwig von Beseler;Archibald Paris (Royal Marines officer)
Siege of Kaunas (1915);Karl Litzmann;Vladimir Grigoriev
Siege of Kut;C. V. F. Townshend;Nureddin Pasha
Siege of Kut;C. V. F. Townshend;Halil Kut
Siege of Kut;C. V. F. Townshend;Karabekir
Siege of Kut;C. V. F. Townshend;Ali İhsan Sâbis
Siege of Kut;C. V. F. Townshend;Colmar Freiherr von der Goltz
Siege of Kut;Harold Courtenay Armstrong;Nureddin Pasha
Siege of Kut;Harold Courtenay Armstrong;Halil Kut
Siege of Kut;Harold Courtenay Armstrong;Karabekir
Siege of Kut;Harold Courtenay Armstrong;Ali İhsan Sâbis
Siege of Kut;Harold Courtenay Armstrong;Colmar Freiherr von der Goltz
Siege of Maubeuge;Karl von Bülow;Joseph Joffre
Siege of Maubeuge;Karl von Bülow;Joseph Anthelme Fournier
Siege of Maubeuge;Alexander von Kluck;Joseph Joffre
Siege of Maubeuge;Alexander von Kluck;Joseph Anthelme Fournier
